canonical_identity,version,wrapper_occurrences,catalog_state,exact_url,archive_or_layer_sha256,upstream_manifest_digest,installer_oci_ref,installer_manifest_digest,installer_layer_digest
argo-cd/argo-cd,10.2.1,1,retained-exact,https://github.com/argoproj/argo-helm/releases/download/argo-cd-10.2.1/argo-cd-10.2.1.tgz,27e930e366d22c999002008ad5ec7961bda00410a84287210d0fffbee8150885,,,,
jetstack/cert-manager,v1.21.0,2,retained-exact,https://charts.jetstack.io/charts/cert-manager-v1.21.0.tgz,9c2c6fabf3cf8fe14dacb016f37c819b66bc2c79e8b7acde4573d45ec141fb97,,,,
external-secrets/external-secrets,2.8.0,2,retained-exact,https://github.com/external-secrets/external-secrets/releases/download/helm-chart-2.8.0/external-secrets-2.8.0.tgz,251e4615013c6d2f9ade5cedf1cd8615613f286bfc381e44fb005f197e611ecd,,,,
prometheus-community/kube-prometheus-stack,87.19.2,2,retained-exact,https://github.com/prometheus-community/helm-charts/releases/download/kube-prometheus-stack-87.19.2/kube-prometheus-stack-87.19.2.tgz,b846cc368aaafd122148c8eec9b361d3893c6068d6301ec20d41c8023dcd8c88,,,,
grafana/loki,7.1.0,1,additive-root,https://github.com/grafana/helm-charts/releases/download/helm-loki-7.1.0/loki-7.1.0.tgz,34361cca2bbb6fa975fd1aeec4f9d5e2b91e2c99af7dd6f9c14ef7fe646493d1,,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-loki:7.1.0,sha256:83711c1b4b1dffabf4ee7f63a37853a59021f887062b1f78bddadb6b722fda1c,sha256:bc46d26a4002b46b9073b1e7f2a61d38a96ecae9aa8c23d5e936c2985bc58204
grafana/alloy,1.11.0,1,additive-root,https://github.com/grafana/helm-charts/releases/download/alloy-1.11.0/alloy-1.11.0.tgz,11d253b62e47beeacd89eb4283fc056962ecbf143984863c1998be13da0772dd,,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/grafana-alloy:1.11.0,sha256:29de0719bc9bc52e2ad47616af1542ef4e9d1b79734ce33c224555a518efe305,sha256:1c852abf30f2d7c4e801f923f8feab4c620e51603c4a00a57f3fb3a99dd0112b
prometheus-community/prometheus-blackbox-exporter,11.15.1,1,retained-exact,https://github.com/prometheus-community/helm-charts/releases/download/prometheus-blackbox-exporter-11.15.1/prometheus-blackbox-exporter-11.15.1.tgz,4e8e45b8a6fbec4168d9b3e772a0219afec09b61c545af5f01395de363e30b5e,,,,
stakater/reloader,2.2.14,1,additive-root,https://stakater.github.io/stakater-charts/reloader-2.2.14.tgz,a21154a5b32df7c4d78c575e957ffa2af5afdfdf608415d3eb0a0da1d045dcec,,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/stakater-reloader:2.2.14,sha256:e901ac5638834018bcee0433c2a4f8aa832bd84c8b8a958e116f6c268e672269,sha256:eeca278bc7280f67c3c24362539959616f5089e478b4233cc4f582fca2041c65
metrics-server/metrics-server,3.13.1,1,retained-exact,https://github.com/kubernetes-sigs/metrics-server/releases/download/metrics-server-helm-chart-3.13.1/metrics-server-3.13.1.tgz,084e6edb680cf4e2acc30bd496568c53fdf663cbacf6e17876b25785c35b7a13,,,,
oauth2-proxy/oauth2-proxy,10.7.0,1,additive-root,https://github.com/oauth2-proxy/manifests/releases/download/oauth2-proxy-10.7.0/oauth2-proxy-10.7.0.tgz,47b44c66fdfc42677d307cf8891f3de29863414bf265f6bef2020c273ff7e839,,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/oauth2-proxy-oauth2-proxy:10.7.0,sha256:52ca76c189956363cc5e23fc29bd527d160c659236bcfd6fe5a4a1716f66eab9,sha256:e2ea12142ed6580180b3a968201b00c8eb6f6ee086caf3b40e69b44971f6fe65
