relation,cluster,component,fact_type,kind,namespace,name,status,assurance,provider_components,reason,source,object,path
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|metallb,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|kyverno,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|external-secrets,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|reloader,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|loki,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|argocd,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|traefik,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|external-dns,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|longhorn,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|homer-dashboard,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|oauth2-proxy,apiVersion
needs,hx-app-dev,hx-app-dev/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,hx-app-dev/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/current-platform/hx-app-dev/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|metrics-server,apiVersion
