relation,cluster,component,fact_type,kind,namespace,name,status,assurance,provider_components,reason,source,object,path
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|external-secrets,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|kyverno-policies,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|longhorn,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|metallb,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|homer-dashboard,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|velero,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|oauth2-proxy,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|kyverno,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|external-dns,apiVersion
needs,test-cluster,test-cluster/argo-cd,api-kind,ApplicationSet,,argoproj.io/ApplicationSet,resolved-rendered,,test-cluster/argo-cd,custom resource argoproj.io/ApplicationSet requires its CRD,data/kubara-effective-renders/historical-v0.12.0/test-cluster/test-cluster/argo-cd.yaml,argoproj.io/v1alpha1|ApplicationSet|argocd|reloader,apiVersion
